bad,good,id,name
2401,2827,211500,RaceRoom Racing Experience 
856,1335,231060,Ragnarok Online 2
3,32,358360,Raptor: Call of the Shadows (1994 Classic Edition)
217,185,253410,Ravensword: Shadowlands
3837,14757,200210,Realm of the Mad God
4,7,358320,Realms of Chaos
73,175,292390,Realms of the Haunting
598,2118,234190,Receiver
,,236830,Red Orchestra 2: Heroes of Stalingrad - Single Player
153,1124,99300,Renegade Ops
364,1462,60,Ricochet
1,12,358410,Rise of the Triad: Dark War
159,251,46560,Robin Hood
27,48,397720,Romance of the Three Kingdoms Maker
109,238,215120,ROSE Online
22,11,286440,Rover Rescue
343,681,295550,Royal Quest
,,36630,Rusty Hearts
203,370,370190,Ruzh Delta Z
42,190,48900,Saira
,,358350,Secret Agent
,,34270,SEGA Genesis & Mega Drive Classics
1,10,358400,Shadow Warrior (Classic)
19,642,238070,Shadow Warrior Classic (1997)
11,183,400040,ShareX
52,21,234370,Shattered Haven
242,1113,202485,Skyrim High Resolution Texture Pack
46,42,283310,Soulbringer
3,32,313760,Soul Gambler: Artbook & Soundtrack
371,273,315260,Space Hack
19,9,399100,Spheroid
2296,12398,99900,Spiral Knights
1,10,358390,Stargunner
51,28,310450,Steel & Steam: Episode 1
2027,4436,47410,Stronghold Kingdoms
135,1982,313730,Sunrider: Mask of Arcadius
578,5408,212800,Super Crate Box
1227,2894,104700,Super Monday Night Combat
4312,8695,51100,Tactical Intervention
354,1882,20,Team Fortress Classic
360,814,384150,TeraBlaster
1,20,358370,Terminal Velocity
14,26,338550,Terra Lander
159,530,219340,The Banner Saga: Factions
21,36,302160,The Egyptian Prophecy: The Fate of Ramses
287,10727,312990,The Expendabros
3,283,450390,The Lab
177,502,2420,The Ship Single Player
,,2430,The Ship Tutorial
14,33,279640,The Troma Project
1242,4690,310370,The Way of Life Free Edition
96,967,211600,Thief Gold
521,2578,286080,Thinking with Time Machine
71,712,419910,TI5 - CDEC's Journey to The Majors
71,712,420090,TI5 - EG Champions of TI5
71,712,411186,TI5 - Player Profiles: Cloud9 - NoTail
71,712,411187,TI5 - Player Profiles: Complexity - zfreek
71,712,411181,TI5 - Player Profiles: EG - Suma1L
71,712,411185,TI5 - Player Profiles: EHOME - ROTK
71,712,411188,TI5 - Player Profiles: Empire - Alohadance
71,712,411189,TI5 - Player Profiles: Fnatic - Kecik-Imba
71,712,411183,TI5 - Player Profiles: Invictus Gaming - Ferrari
71,712,411190,TI5 - Player Profiles: LGD - Xiao8
71,712,411184,TI5 - Player Profiles: MVPHot6 - HEEN
71,712,411182,TI5 - Player Profiles: NAVI - XBOCT
71,712,411191,TI5 - Player Profiles: Newbee - Mu
71,712,411192,TI5 - Player Profiles: TeamSecret - S4
71,712,411193,TI5 - Player Profiles: Vici - fy
71,712,411194,TI5 - Player Profiles: VirtusPro - FNG
52,107,40420,Tidalis
93,405,37400,"Time Gentlemen, Please!"
,,272350,Tom Clancy's Ghost Recon Phantoms - EU
,,315906,Tom Clancy's Ghost Recon Phantoms - EU: The Thrill of the Surprise
5137,13289,243870,Tom Clancy's Ghost Recon Phantoms - NA
,,315916,Tom Clancy's Ghost Recon Phantoms - NA: The Thrill of the Surprise
40,10,370310,Tompi Jones
247,286,24670,Trainz Simulator 12
8,58,343840,Trash TV
1184,5718,17080,Tribes: Ascend
152,1066,23490,Tropico 3 - Steam Special Edition
4,13,301210,Two Worlds Strategy Guide
7,141,323630,Ubinota
16,123,425681,UGT - 1. 3DS Max Modeling - 1.1
,,425682,UGT - 1. 3DS Max Modeling - 1.2
,,425683,UGT - 1. 3DS Max Modeling - 1.3
,,425684,UGT - 1. 3DS Max Modeling - 1.4
,,425685,UGT - 1. 3DS Max Modeling - 1.5
,,425686,UGT - 2. S.P. Texturing - 1.1
